"polish"	"indpol_hindi"	"indpol_marathi"	"hindi_meaning"	"marathi_meaning"	"english_meaning"	"pos"	"level"
"ubranie"	"ुबरअनिे"	"उबरअनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: clothes]"	"clothes"	"noun"	"A2"
"ucho"	"ुखो"	"उखओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: ear]"	"ear"	"noun"	"C1"
"uchwyt"	"ुखवित"	"उखवइत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: grip]"	"grip"	"noun"	"B1"
"uciąć"	"ुचिओंच"	"उचिओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to cut]"	"to cut"	"noun"	"A1"
"uciec"	"ुचिेत्स"	"उचिएत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to escape]"	"to escape"	"noun"	"A2"
"uciekać"	"ुचिेकअच"	"उचिएकअच"	"भागना"	"पळून जाणे"	""	"verb"	"C1"
"uczciwy"	"ुचचिवि"	"उचचिवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: honest]"	"honest"	"noun"	"B2"
"uczeń"	"ुचेञ"	"उचएञ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: student]"	"student"	"noun"	"B1"
"uczestniczyć"	"ुचेसतनिचिच"	"उचएसतनिचइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to attend]"	"to attend"	"verb"	"B1"
"uczucie"	"ुचुचिे"	"उचउचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: feeling]"	"feeling"	"noun"	"A1"
"uczyć"	"ुचिच"	"उचइच"	"सिखाना"	"शिकवणे"	"to teach"	"verb"	"C1"
"uczyć się"	"ुचिच शिएं"	"उचइच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to learn]"	"to learn"	"noun"	"A1"
"udany"	"ुदअनि"	"उदअनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: successful]"	"successful"	"noun"	"C1"
"udar mózgu"	"ुदअर मउज़गु"	"उदअर मउज़गउ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: stroke]"	"stroke"	"noun"	"B1"
"udawać"	"ुदअवअच"	"उदअवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to pretend]"	"to pretend"	"verb"	"B1"
"uderzyć"	"ुदेझिच"	"उदएझइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to strike]"	"to strike"	"verb"	"A2"
"udo"	"ुदो"	"उदओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: thigh]"	"thigh"	"noun"	"C1"
"udowodnić"	"ुदोवोदनिच"	"उदओवओदनिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to prove]"	"to prove"	"verb"	"A2"
"ufać"	"ुफअच"	"उफअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to trust]"	"to trust"	"verb"	"A2"
"ujawnić"	"ुयअवनिच"	"उयअवनिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to reveal]"	"to reveal"	"verb"	"B1"
"układ"	"ुकवअद"	"उकवअद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: arrangement]"	"arrangement"	"noun"	"B2"
"uklęknąć"	"ुकलएंकनओंच"	"उकलएंकनओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to kneel]"	"to kneel"	"noun"	"B2"
"ukłonić"	"ुकवोनिच"	"उकवओनिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to bow]"	"to bow"	"verb"	"A2"
"ukryć"	"ुकरिच"	"उकरइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to hide]"	"to hide"	"verb"	"A2"
"ulga"	"ुलगअ"	"उलगअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: relief]"	"relief"	"noun"	"B1"
"ulica"	"ुलित्सअ"	"उलइत्सअ"	"गली"	"गली"	"street"	"noun"	"C1"
"ulubiony"	"ुलुबिोनि"	"उलउबइओनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: favorite]"	"favorite"	"noun"	"B2"
"ulżyć"	"ुलझिच"	"उलझइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to relieve]"	"to relieve"	"verb"	"B2"
"umiejętność"	"ुमिेयएंतनोशच"	"उमइएयएंतनओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: skill]"	"skill"	"noun"	"B2"
"umrzeć"	"ुमझेच"	"उमझएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to die]"	"to die"	"verb"	"A1"
"umysł"	"ुमिसव"	"उमइसव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: mind]"	"mind"	"noun"	"A1"
"umysłowy"	"ुमिसवोवि"	"उमइसवओवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: mental]"	"mental"	"noun"	"C1"
"unikać"	"ुनिकअच"	"उनिकअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to avoid]"	"to avoid"	"verb"	"B1"
"uniwersytet"	"ुनिवेरसितेत"	"उनिवएरसइतएत"	"विश्वविद्यालय"	"विश्वविद्यालय"	""	"noun"	"C1"
"upaść"	"ुपअशच"	"उपअशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to fall]"	"to fall"	"noun"	"A1"
"uprzejmy"	"ुपझेयमि"	"उपझएयमइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: kind]"	"kind"	"noun"	"A1"
"ups"	"ुपस"	"उपस"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: upper]"	"upper"	"noun"	"B2"
"upuścić"	"ुपुशचिच"	"उपउशचिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to drop]"	"to drop"	"verb"	"A1"
"uratować"	"ुरअतोवअच"	"उरअतओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to rescue]"	"to rescue"	"verb"	"C1"
"uroczo"	"ुरोचो"	"उरओचओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: lovely]"	"lovely"	"noun"	"B1"
"urzędnik"	"ुझएंदनिक"	"उझएंदनिक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: clerk]"	"clerk"	"noun"	"C1"
"usiąść"	"ुशिओंशच"	"उशिओंशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to sit]"	"to sit"	"noun"	"A1"
"usługa"	"ुसवुगअ"	"उसवउगअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: service]"	"service"	"noun"	"A2"
"uśmiechać się"	"ुशमिेखअच शिएं"	"उशमइएखअच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to smile]"	"to smile"	"noun"	"A1"
"usprawiedliwienie"	"ुसपरअविेदलिविेनिे"	"उसपरअवइएदलइवइएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: excuse]"	"excuse"	"noun"	"B1"
"usta"	"ुसतअ"	"उसतअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: mouth]"	"mouth"	"noun"	"C1"
"ustalić"	"ुसतअलिच"	"उसतअलइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to establish]"	"to establish"	"verb"	"B1"
"ustawić"	"ुसतअविच"	"उसतअवइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to set]"	"to set"	"verb"	"A1"
"usuwać"	"ुसुवअच"	"उसउवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to remove]"	"to remove"	"verb"	"A2"
"uszkodzenie"	"ुशकोजेनिे"	"उशकओजएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: damage]"	"damage"	"noun"	"C1"
"utrzymywać"	"ुतझिमिवअच"	"उतझइमइवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to maintain]"	"to maintain"	"verb"	"C1"
"utwór"	"ुतवउर"	"उतवउर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: track]"	"track"	"noun"	"B1"
"Uwaga"	"ुवअगअ"	"उवअगअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: note]"	"note"	"noun"	"A1"
"uważaj"	"ुवअझअय"	"उवअझअय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: careful]"	"careful"	"noun"	"B1"
"uzyskać"	"ुज़िसकअच"	"उज़इसकअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to obtain]"	"to obtain"	"verb"	"B2"
"używać"	"ुझिवअच"	"उझइवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to use]"	"to use"	"verb"	"A1"
"viktigheten"	"विकतिगहेतेन"	"वइकतइगहएतएन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: importance]"	"importance"	"noun"	"B2"
"w"	"व"	"व"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: in]"	"in"	"noun"	"A1"
"w ciągu"	"व चिओंगु"	"व चिओंगउ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: within]"	"within"	"noun"	"A1"
"w górę"	"व गउरएं"	"व गउरएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: up]"	"up"	"noun"	"A1"
"w jaki sposób"	"व यअकि सपोसउब"	"व यअकइ सपओसउब"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: how]"	"how"	"noun"	"A1"
"w kierunku"	"व किेरुनकु"	"व कइएरउनकउ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: toward]"	"toward"	"noun"	"A1"
"w pełni"	"व पेवनि"	"व पएवनि"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: fully]"	"fully"	"noun"	"B1"
"w porządku"	"व पोझओंदकु"	"व पओझओंदकउ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: fine]"	"fine"	"noun"	"A1"
"w pozycji siedzącej"	"व पोज़ित्सयि शिेजओंत्सेय"	"व पओज़इत्सयइ शिएजओंत्सएय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: seated]"	"seated"	"noun"	"B2"
"w rzeczy samej"	"व झेचि सअमेय"	"व झएचइ सअमएय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: indeed]"	"indeed"	"noun"	"A2"
"w szczególności"	"व श्चेगउलनोशचि"	"व श्चएगउलनओशचि"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: especially]"	"especially"	"noun"	"A2"
"w związku z tym"	"व ज़विओंज़कु ज़ तिम"	"व ज़वइओंज़कउ ज़ तइम"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: therefore]"	"therefore"	"noun"	"A2"
"waga"	"वअगअ"	"वअगअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: weight]"	"weight"	"noun"	"B1"
"wahać się"	"वअहअच शिएं"	"वअहअच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to hesitate]"	"to hesitate"	"noun"	"B1"
"walczyć"	"वअलचिच"	"वअलचइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to fight]"	"to fight"	"verb"	"A1"
"walizka"	"वअलिज़कअ"	"वअलइज़कअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: case]"	"case"	"noun"	"A1"
"warga"	"वअरगअ"	"वअरगअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: lip]"	"lip"	"noun"	"A1"
"wartość"	"वअरतोशच"	"वअरतओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: worth]"	"worth"	"noun"	"A2"
"wąski"	"वओंसकि"	"वओंसकइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: narrow]"	"narrow"	"noun"	"A2"
"wątpić"	"वओंतपिच"	"वओंतपइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: doubt]"	"doubt"	"verb"	"A1"
"wątroba"	"वओंतरोबअ"	"वओंतरओबअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"C1"
"ważny"	"वअझनि"	"वअझनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: important]"	"important"	"noun"	"A2"
"wcześnie"	"वचेशनिे"	"वचएशनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: early]"	"early"	"noun"	"A1"
"wczoraj"	"वचोरअय"	"वचओरअय"	"कल"	"काल"	"yesterday"	"noun"	"C1"
"wdzięczny"	"वजिएंचनि"	"वजिएंचनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: grateful]"	"grateful"	"noun"	"C1"
"wędrować"	"वएंदरोवअच"	"वएंदरओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to wander]"	"to wander"	"verb"	"B1"
"wejść"	"वेयशच"	"वएयशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to enter]"	"to enter"	"noun"	"A1"
"wejście"	"वेयशचिे"	"वएयशचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: entrance]"	"entrance"	"noun"	"B1"
"wersja"	"वेरसयअ"	"वएरसयअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: version]"	"version"	"noun"	"C1"
"wewnątrz"	"वेवनओंतझ"	"वएवनओंतझ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: inside]"	"inside"	"noun"	"A1"
"węż"	"वएंझ"	"वएंझ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"C1"
"wiadomość"	"विअदोमोशच"	"वइअदओमओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: message]"	"message"	"noun"	"B1"
"wiara"	"विअरअ"	"वइअरअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: faith]"	"faith"	"noun"	"B1"
"wiatr"	"विअतर"	"वइअतर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: wind]"	"wind"	"noun"	"C1"
"wiązać"	"विओंज़अच"	"वइओंज़अच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to tie]"	"to tie"	"verb"	"A2"
"widelec"	"विदेलेत्स"	"वइदएलएत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"C1"
"widoczny"	"विदोचनि"	"वइदओचनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: visible]"	"visible"	"noun"	"C1"
"widok"	"विदोक"	"वइदओक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: sight]"	"sight"	"noun"	"A2"
"widzieć"	"विजिेच"	"वइजिएच"	"देखना"	"पहाणे"	""	"verb"	"C1"
"więc"	"विएंत्स"	"वइएंत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: so]"	"so"	"noun"	"A1"
"więcej"	"विएंत्सेय"	"वइएंत्सएय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: more]"	"more"	"noun"	"A1"
"wieczór"	"विेचउर"	"वइएचउर"	"शाम"	"संध्याकाळ"	"evening"	"noun"	"C1"
"wiedza"	"विेजअ"	"वइएजअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: knowledge]"	"knowledge"	"noun"	"B1"
"wiedzieć"	"विेजिेच"	"वइएजिएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to know]"	"to know"	"verb"	"A1"
"wiek"	"विेक"	"वइएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: age]"	"age"	"noun"	"A2"
"większość"	"विएंकशोशच"	"वइएंकशओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: most]"	"most"	"noun"	"A1"
"wiele"	"विेले"	"वइएलए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: many]"	"many"	"noun"	"A1"
"wielki"	"विेलकि"	"वइएलकइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: grand]"	"grand"	"noun"	"C1"
"wiercić"	"विेरचिच"	"वइएरचिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to bore]"	"to bore"	"verb"	"C1"
"wiersz"	"विेरश"	"वइएरश"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: row]"	"row"	"noun"	"B1"
"wierzyć"	"विेझिच"	"वइएझइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to believe]"	"to believe"	"verb"	"A1"
"wieś"	"विेश"	"वइएश"	"गाँव"	"गाव"	""	"noun"	"C1"
"wieża"	"विेझअ"	"वइएझअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: tower]"	"tower"	"noun"	"B2"
"więzień"	"विएंज़िेञ"	"वइएंज़िएञ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: prisoner]"	"prisoner"	"noun"	"B1"
"więzienie"	"विएंज़िेनिे"	"वइएंज़िएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: prison]"	"prison"	"noun"	"B2"
"wina"	"विनअ"	"वइनअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: fault]"	"fault"	"noun"	"B1"
"winić"	"विनिच"	"वइनिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to blame]"	"to blame"	"verb"	"B1"
"winny"	"विननि"	"वइननइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: guilty]"	"guilty"	"noun"	"B2"
"wino"	"विनो"	"वइनओ"	"शराब"	"वाइन"	"wine"	"noun"	"C1"
"wioska"	"विोसकअ"	"वइओसकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: village]"	"village"	"noun"	"A2"
"wiosna"	"विोसनअ"	"वइओसनअ"	"वसंत"	"वसंत"	"spring"	"noun"	"C1"
"wirować"	"विरोवअच"	"वइरओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to spin]"	"to spin"	"verb"	"B2"
"witam"	"वितअम"	"वइतअम"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: welcome]"	"welcome"	"noun"	"B1"
"wizja"	"विज़यअ"	"वइज़यअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: vision]"	"vision"	"noun"	"B1"
"wkrótce"	"वकरउतत्से"	"वकरउतत्सए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: soon]"	"soon"	"noun"	"A1"
"właściciel"	"ववअशचिचिेल"	"ववअशचिचिएल"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: owner]"	"owner"	"noun"	"B2"
"właśnie"	"ववअशनिे"	"ववअशनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: just]"	"just"	"noun"	"A1"
"wlewać"	"वलेवअच"	"वलएवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to pour]"	"to pour"	"verb"	"A2"
"włoski"	"ववोसकि"	"ववओसकइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: Italian]"	"Italian"	"noun"	"B2"
"włosy"	"ववोसि"	"ववओसइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: hair]"	"hair"	"noun"	"C1"
"woda"	"वोदअ"	"वोदा"	"पानी"	"पाणी"	"water"	"noun"	"C1"
"wojna"	"वोयनअ"	"वओयनअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: war]"	"war"	"noun"	"A1"
"wojownik"	"वोयोवनिक"	"वओयओवनिक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: warrior]"	"warrior"	"noun"	"C1"
"wojskowy"	"वोयसकोवि"	"वओयसकओवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: military]"	"military"	"noun"	"B1"
"wolę"	"वोलएं"	"वओलएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to prefer]"	"to prefer"	"noun"	"B1"
"wolność"	"वोलनोशच"	"वओलनओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: freedom]"	"freedom"	"noun"	"B2"
"wolny"	"वोलनि"	"वओलनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: free]"	"free"	"noun"	"A1"
"wóz"	"वउज़"	"वउज़"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: wagon]"	"wagon"	"noun"	"B2"
"wpływ"	"वपविव"	"वपवइव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: influence]"	"influence"	"noun"	"B1"
"wpływać"	"वपविवअच"	"वपवइवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to affect]"	"to affect"	"verb"	"B2"
"wprowadzić"	"वपरोवअजिच"	"वपरओवअजिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to introduce]"	"to introduce"	"verb"	"B1"
"wracać"	"वरअत्सअच"	"वरअत्सअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to return]"	"to return"	"verb"	"A1"
"wrażenie"	"वरअझेनिे"	"वरअझएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: impression]"	"impression"	"noun"	"B2"
"Wreszcie"	"वरेशचिे"	"वरएशचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: finally]"	"finally"	"noun"	"A2"
"wróg"	"वरउग"	"वरउग"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: enemy]"	"enemy"	"noun"	"A2"
"wrzesień"	"वझेशिेञ"	"वझएशिएञ"	"सितंबर"	"सप्टेंबर"	""	"noun"	"C1"
"wschód"	"वसखउद"	"वसखउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: east]"	"east"	"noun"	"B2"
"wskazać"	"वसकअज़अच"	"वसकअज़अच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to indicate]"	"to indicate"	"verb"	"B1"
"wskazówka"	"वसकअज़उवकअ"	"वसकअज़उवकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: tip]"	"tip"	"noun"	"B2"
"wspierać"	"वसपिेरअच"	"वसपइएरअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to support]"	"to support"	"verb"	"A2"
"wspinać się"	"वसपिनअच शिएं"	"वसपइनअच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to climb]"	"to climb"	"noun"	"A2"
"współczucie"	"वसपउवचुचिे"	"वसपउवचउचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: sympathy]"	"sympathy"	"noun"	"C1"
"wspomnieć"	"वसपोमनिेच"	"वसपओमनिएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to mention]"	"to mention"	"verb"	"A2"
"wstrząsnąć"	"वसतझओंसनओंच"	"वसतझओंसनओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to shake]"	"to shake"	"noun"	"A1"
"wstyd"	"वसतिद"	"वसतइद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: shame]"	"shame"	"noun"	"B2"
"wszędzie"	"वशएंजिे"	"वशएंजिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: everywhere]"	"everywhere"	"noun"	"B2"
"wszyscy"	"वशिसत्सि"	"वशइसत्सइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: everybody]"	"everybody"	"noun"	"B1"
"wszystko"	"वशिसतको"	"वशइसतकओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: all]"	"all"	"noun"	"A1"
"wtorek"	"वतोरेक"	"व्तोरेक"	"मंगलवार"	"मंगळवार"	""	"noun"	"C1"
"wujek"	"वुयेक"	"वउयएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: uncle]"	"uncle"	"noun"	"B1"
"wybaczyć"	"विबअचिच"	"वइबअचइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to forgive]"	"to forgive"	"verb"	"B2"
"wybierać"	"विबिेरअच"	"वइबइएरअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to choose]"	"to choose"	"verb"	"A2"
"wybór"	"विबउर"	"वइबउर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: choice]"	"choice"	"noun"	"B1"
"wybrzeże"	"विबझेझे"	"वइबझएझए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: coast]"	"coast"	"noun"	"C1"
"wychodzić"	"विखोजिच"	"वइखओजिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"verb"	"C1"
"wycieczka"	"विचिेचकअ"	"वइचिएचकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: trip]"	"trip"	"noun"	"A2"
"wycofać się"	"वित्सोफअच शिएं"	"वइत्सओफअच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to retreat]"	"to retreat"	"noun"	"B2"
"wyczerpać"	"विचेरपअच"	"वइचएरपअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to exhaust]"	"to exhaust"	"verb"	"C1"
"wydać"	"विदअच"	"वइदअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to spend]"	"to spend"	"verb"	"A1"
"wydarzyć się"	"विदअझिच शिएं"	"वइदअझइच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to happen]"	"to happen"	"noun"	"A1"
"wydawać się"	"विदअवअच शिएं"	"वइदअवअच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to seem]"	"to seem"	"noun"	"A1"
"wygląd"	"विगलओंद"	"वइगलओंद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: appearance]"	"appearance"	"noun"	"B1"
"wygodne"	"विगोदने"	"वइगओदनए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: comfortable]"	"comfortable"	"noun"	"B2"
"wygrać"	"विगरअच"	"वइगरअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to win]"	"to win"	"verb"	"A2"
"wyjaśnienie"	"वियअशनिेनिे"	"वइयअशनिएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: explanation]"	"explanation"	"noun"	"B2"
"wykonać"	"विकोनअच"	"वइकओनअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to perform]"	"to perform"	"verb"	"B2"
"wykorzystać"	"विकोझिसतअच"	"वइकओझइसतअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to seize]"	"to seize"	"verb"	"B2"
"wylądować"	"विलओंदोवअच"	"वइलओंदओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: land]"	"land"	"verb"	"A1"
"wyłonić się"	"विवोनिच शिएं"	"वइवओनिच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to emerge]"	"to emerge"	"noun"	"B2"
"wymagać"	"विमअगअच"	"वइमअगअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to require]"	"to require"	"verb"	"B1"
"wynik"	"विनिक"	"वइनिक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: result]"	"result"	"noun"	"A2"
"wyobrazić"	"विोबरअज़िच"	"वइओबरअज़िच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to imagine]"	"to imagine"	"verb"	"A2"
"wyobraźnia"	"विोबरअज़निअ"	"वइओबरअज़निअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: imagination]"	"imagination"	"noun"	"B2"
"wypadek"	"विपअदेक"	"वइपअदएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: accident]"	"accident"	"noun"	"B2"
"wypełnić"	"विपेवनिच"	"वइपएवनिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to fill]"	"to fill"	"verb"	"A1"
"wypowiadać"	"विपोविअदअच"	"वइपओवइअदअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to utter]"	"to utter"	"verb"	"B2"
